,U,V,C,S,Overall
HMHSHC,16,1,1,3,21
HMHSLC,6,8,2,0,16
HMLSHC,0,0,0,1,1
HMLSLC,1,1,0,0,2
LMHSHC,2,0,0,0,2
LMHSLC,0,3,1,0,4
LMLSHC,12,2,1,2,17
LMLSLC,6,14,4,0,24
