Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,20,3,0.024242540101881295,0.006171722487638998,0.006145785793512986,0.0038607249022763186,0.018274931725763745,0.004247488557434433,0.024242540101881295,0.00894706791648158,0.0039227360770172515,0.003128487619585737,0.0022881063937267077,0.0014305421481789731,0.005982196185752846,0.0069736275973130415,0.0017284770066588384,0.0025032389627444645,0.0028784848985336496,0.006396521828890211,0.0019423878799848674
Curvatures,21,3,0.02431490482243549,0.005806125939487637,0.0060856935697673,0.013636712842548533,0.010149776070879808,0.005657224539039098,0.02431490482243549,0.007353347525116382,0.0030977184058421795,0.0003280416550990699,0.0017410220046613894,4.6200987228023687e-05,0.005604803593365481,0.0038996189964484646,0.00011191253113792773,0.0009760004048802758,0.0027619861575206173,0.0043333064608474196,0.008885438034752028
Curvatures,22,3,0.020458041639864834,0.006596026635312559,0.005923786093661289,0.018476836761219993,0.001931093832298398,0.0054533965260868626,0.020458041639864834,0.005793824730745217,0.00040383574811824797,0.005966112374001057,0.00386758473723239,0.004141035434856794,0.005727659738534938,0.003325725219364837,0.0034252965995985596,0.004140195355767386,0.003693099438450598,0.0022628674179789804,0.016469820610881845
Curvatures,23,15,0.020285035194301887,0.008828546341757223,0.005345550594269221,0.014967425844590123,0.01572808562397226,0.0033042690385821846,0.014772128690965381,0.003949752972205638,0.0042150269425833995,0.012545075511983791,0.007168055981102727,0.008135894895988743,0.005551998842426166,0.011958955027397838,0.006068235115263034,0.007095936424563671,0.004724630652528973,0.0007862347096597663,0.020285035194301887
Curvatures,24,1,0.0277279116128309,0.009290918382419341,0.007048251245280546,0.003902148876330512,0.0277279116128309,0.0006124766850615299,0.009873663003282174,0.002763253903526417,0.004748567236144999,0.0182965644570735,0.009698616943202997,0.007747893028060248,0.007337761446467852,0.01593365713216985,0.007066261820302615,0.008868503975015969,0.00594278872584145,0.0007318892544945129,0.01740273601890396
Curvatures,25,1,0.03230333603967686,0.009762583583898012,0.007993134800225218,0.010523460207448106,0.03230333603967686,0.002976438694731706,0.01080091080452261,0.004598364188202659,0.002945039411127551,0.024623378612252885,0.011012708112123333,0.0018313001120014577,0.010900774160766038,0.012806546306956032,0.007336696373264579,0.007749292825173207,0.005108453404539622,0.0016850185287654272,0.008999619560816111
Curvatures,26,6,0.02924349699718731,0.009920730313846667,0.009316143429992613,0.022470851550682774,0.029024227380757592,0.0007967051021187634,0.013520275332324902,0.00801551440123663,0.0012400619280947725,0.02924349699718731,0.012245659565036766,0.0069902867986229664,0.014879987867211994,0.005687706878806157,0.0060596957833022646,0.0033942244976452917,0.0019403944629057918,0.0025741378463543037,0.0006484586292583792
Curvatures,27,6,0.031357800270371924,0.010962560623386478,0.009221496535189892,0.027575003494984467,0.019118245132895843,0.004962045006424617,0.012761787441908907,0.012686805355440638,0.0022035178342686727,0.031357800270371924,0.014946451377776908,0.013171085846909725,0.018580433378019887,0.0004673564210527056,0.004611440168625429,0.001994355912316101,0.0006824267694094985,0.005261521834146209,0.005020693729632103
Curvatures,28,6,0.0305959025366199,0.01173477518198651,0.008045027820190027,0.02791478034060685,0.007568498496113844,0.015037804997050774,0.01328500481385128,0.015251505873478743,0.008652653625557427,0.0305959025366199,0.014418040043764305,0.012733485172117706,0.014804945027149031,0.00014433667587719648,0.006038246883863574,0.004850809574860255,0.0027286721954642517,0.00847262095398248,0.005259095701426544
Curvatures,29,6,0.023750777840764684,0.010520661746880476,0.007949429454563966,0.022370751297124195,0.0009332291781966771,0.022468199933286408,0.015441591615662088,0.014598610570836388,0.019342463897975778,0.023750777840764684,0.007814053832053731,0.0068929739841666554,0.006685961573346661,0.0031974209216335783,0.009974248268731771,0.0005616341310857918,0.0015411865616606745,0.010797957390613616,0.001959526952948939
