,U,V,C,S,Overall
HMHSHC,17,3,0,3,23
HMHSLC,2,7,1,1,11
HMLSHC,2,0,0,0,2
HMLSLC,2,3,2,0,7
LMHSHC,3,0,0,0,3
LMHSLC,1,0,0,0,1
LMLSHC,9,2,1,2,14
LMLSLC,7,14,5,0,26
