,U,V,C,S,Overall
HMHSHC,17,0,0,4,21
HMHSLC,7,9,0,0,16
HMLSLC,1,5,0,0,6
LMHSHC,5,0,1,0,6
LMHSLC,2,0,1,0,3
LMLSHC,5,1,1,2,9
LMLSLC,6,14,6,0,26
