,U,V,C,S,Overall
HMHSHC,12,3,0,4,19
HMHSLC,8,8,2,0,18
HMLSHC,1,0,0,0,1
HMLSLC,1,1,0,0,2
LMHSHC,2,0,0,0,2
LMHSLC,0,3,1,0,4
LMLSHC,15,0,2,2,19
LMLSLC,4,14,4,0,22
