,U,V,C,S,Overall
HMHSHC,15,0,0,5,20
HMHSLC,9,5,2,0,16
HMLSHC,0,0,1,1,2
HMLSLC,0,4,0,0,4
LMHSHC,5,0,0,0,5
LMHSLC,0,2,1,0,3
LMLSHC,9,2,1,0,12
LMLSLC,5,16,4,0,25
