Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient
Curvatures,35,11,0.013426241999770128,0.005228872907168826,0.0040331733206742885
Curvatures,36,11,0.013816143200212305,0.0058920541851180935,0.004769686131182758
Curvatures,37,14,0.017171322034726492,0.006165750090056507,0.005072011350944436
Curvatures,38,10,0.01610963747327792,0.004933317922556033,0.0046870264571819776
Curvatures,39,10,0.016793775774511487,0.006305943826743119,0.003815795357404965
Curvatures,40,7,0.014303857686727914,0.00707254422534531,0.004208909960760457
Curvatures,41,3,0.016545564839553783,0.006048873136976618,0.004640014768355637
Curvatures,42,14,0.013997884269050504,0.004560157258378206,0.004300116950487753
Curvatures,43,10,0.01001458517231505,0.00582601965445383,0.0028451752098850656
Curvatures,44,15,0.013005192829781884,0.005636418563699341,0.003170376482119301
Curvatures,45,15,0.017431949772153166,0.0039205173572695266,0.004265190595934378
Curvatures,46,15,0.020936073853841625,0.003412280878532691,0.004797194925188361
Curvatures,47,15,0.02035714722257515,0.0038898571827114,0.0050183914300278186
Curvatures,48,15,0.015344065722708123,0.004998473864989626,0.004201484658459303
Curvatures,49,14,0.012265525463184428,0.005026137844914009,0.0033404555527465495
Curvatures,50,14,0.01052956220734064,0.003872956249057333,0.002886110700091276
Curvatures,51,15,0.01118649768580435,0.003156394117714854,0.002785560452856189
Curvatures,52,15,0.013985070318227379,0.0033246087344098794,0.0034878657693447708
Curvatures,53,15,0.012252217932777745,0.004367822714124348,0.002942102702341963
Curvatures,54,11,0.008975745108265466,0.004252640979039698,0.002604011287007199
Curvatures,55,8,0.007649525395736737,0.003676008786900468,0.0022580690364479026
Curvatures,56,8,0.007378768209529068,0.003136795473653961,0.0019574808021548475
Curvatures,57,8,0.00654212082773157,0.0028678722162135905,0.0018944778215114345
Curvatures,58,13,0.0065418966421777434,0.0031160901078105363,0.0017357672056054114
Curvatures,59,13,0.00787661135428149,0.0033469385442295384,0.0019371742772669822
Curvatures,60,13,0.00616104090349481,0.0026121018080880066,0.0017800472382131826
Torsions,0,8,0.021033007294293343,-0.0003216545398357423,0.009922202826847346
Torsions,1,8,0.025450144378439822,-0.0014396028010270645,0.012653952466634042
Torsions,2,8,0.0318434082417103,-0.0023071692505797652,0.015261065958574248
Torsions,3,8,0.01984027080120325,-0.0037173278376264555,0.0129929635633904
Torsions,4,15,0.016306558683553775,-0.002256811083059464,0.011430251655313781
Torsions,5,13,0.020464852917045268,0.0006812282502131725,0.012493927883968286
Torsions,6,12,0.02838642656235875,0.003134322423853984,0.013578929192456173
Torsions,7,12,0.037351833454806214,0.005335317610692187,0.014432273765848545
Torsions,8,12,0.03297685857608435,0.005106926950566361,0.011836171235280933
Torsions,9,12,0.020826348231571642,0.003158010548476601,0.00845456638479659
Torsions,10,13,0.02348029278430269,0.0010148845113781978,0.010812533747933005
Torsions,11,13,0.03600728112038298,-1.4401796022676418e-05,0.01438368830173287
Torsions,12,13,0.05080769564050035,-2.4035413461491115e-05,0.019089346258051566
Torsions,13,13,0.05399545960070062,6.03805566308617e-05,0.020327513951155545
Torsions,14,13,0.04049452898702678,0.00026528886919262567,0.016344187468285348
Torsions,15,13,0.027507572952326486,-8.830708277024067e-05,0.01312988486293114
Torsions,16,13,0.01703444618084099,-0.0005288560491840007,0.011633614371579615
Torsions,17,7,0.014030205299265283,-0.0016359935905267652,0.011697346976417415
Torsions,18,1,0.012641956933876868,-0.002752382785141336,0.011446292776988701
Torsions,19,1,0.016543701335579097,-0.0036463430475251,0.011760015717572805
Torsions,20,1,0.01715975443668964,-0.003906993917638415,0.012475652973594925
Torsions,21,14,0.020878489752059023,-0.0034151492781431094,0.01398341385845072
Torsions,22,14,0.021258881554389215,-0.004083993496444241,0.014388985465226474
Torsions,23,14,0.013131833994026315,-0.0040713636013797174,0.012323788971450677
Torsions,24,15,0.01486487283263271,-0.003602611394914096,0.010988463579841339
Torsions,25,11,0.02005801667064949,-0.0027362249266798112,0.011965896376203537
Torsions,26,11,0.028841480419709506,-0.0008942179948176781,0.013766126662036506
Torsions,27,11,0.03462932747802879,0.000645947694728121,0.015684414724964135
Torsions,28,11,0.03350117793172028,0.00048200244365601995,0.01724820636683796
Torsions,29,11,0.036962631080836326,0.0009951937455355045,0.018797970547359065
Torsions,30,11,0.038230867596955584,0.0001840004926778548,0.0175022740996178
Torsions,31,11,0.03668726699594389,-0.0007588431837037982,0.015789474710112904
Torsions,32,8,0.03519801516602502,7.941010370798906e-05,0.014626522927510717
Torsions,33,8,0.046062741638567044,-0.0005757748806519045,0.01692415824733892
Torsions,34,8,0.04649676559853961,-0.00013512391936151575,0.019150910304126197
Torsions,35,8,0.042834535194472584,-0.0008253701835716437,0.019788558567797748
Torsions,36,8,0.036275915256814006,-0.0015004891521232001,0.020213548290483642
Torsions,37,7,0.029300721249454455,-0.0005349516745926357,0.017910606023319155
Torsions,38,10,0.02796660183448554,0.00038102422573862353,0.015368228062148732
Torsions,39,10,0.021480648799648734,-0.00015097229400219073,0.011937843091659742
Torsions,40,0,0.016683918397160637,-0.001369489796768783,0.011765159602616742
Torsions,41,0,0.016844494463397384,-0.0035644052204873776,0.011502971264243201
Torsions,42,0,0.014298258519300486,-0.005619330483975683,0.010900735991545396
Torsions,43,0,0.01110489657434983,-0.00726231761018294,0.010447391156849664
Torsions,44,6,0.008181987692702187,-0.007295328977437024,0.009493674443726414
Torsions,45,10,0.01165523523981677,-0.005500694190928794,0.009520083303296224
Torsions,46,9,0.010834002485431324,-0.002478981223988556,0.010270034822093129
Torsions,47,9,0.020477204258474033,0.0027270883539852442,0.010011098907526456
Torsions,48,15,0.020758345885968355,0.005393946186859939,0.011585498997342602
Torsions,49,13,0.029931075277424363,0.0045212345103558624,0.012416554913835736
Torsions,50,13,0.04003456168439281,0.003126251740900657,0.01394872885355548
Torsions,51,13,0.0388875405173309,0.0033372418053165113,0.015555617832815364
Torsions,52,13,0.037072786641466154,0.003976780982318795,0.01600173580838113
Torsions,53,13,0.02811617766004153,0.004755890427425105,0.013627314384806447
Torsions,54,8,0.022811695687072316,0.0043005041328222126,0.013064532545977614
Torsions,55,15,0.028298661549665174,0.000706862706829656,0.013258637857339434
Torsions,56,15,0.02582329596465082,-0.001836148391420411,0.014206905777570712
Torsions,57,12,0.03249191949286224,-0.0009165069039328857,0.016034674768027054
Torsions,58,12,0.041078522910509084,0.0010921325537959533,0.018178692892724325
Torsions,59,12,0.04267075946602203,0.002781933422711245,0.017413422015455787
Torsions,60,12,0.03332048141431721,0.003177043464117312,0.012461560059927244
