Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,0,0,0.023355331417369184,0.007811253695664082,0.006645859583973933,0.023355331417369184,0.0030870731376128153,0.010085224354983706,0.013865731902772835,0.005328835497602832,0.007602700496226918,0.02249390603646426,0.005896419898429254,0.002586469901072813,0.007287209252264717,0.0004762246324218802,0.0016727992113471965,0.009090872755145767,0.006411972041454689,0.004278875264238216,0.0014604133312182328
Curvatures,1,6,0.025764000583772574,0.010401043901383727,0.006336556941959577,0.02296698344996108,0.008346498867751113,0.010281157169442704,0.019533929622391054,0.008798744151517747,0.0070101042887271686,0.025764000583772574,0.009032904171487137,0.009787420016602407,0.009003073979415795,0.003874746651758007,0.004802990367770717,0.010196767844650071,0.006122464996075999,0.006234735669101118,0.004660180591714961
Curvatures,2,8,0.019710910093371434,0.010259755773829494,0.005303757206414374,0.009240646860526466,0.01691055091966256,0.006151373092183138,0.01943466416234572,0.010514951570139338,0.0026886342997902556,0.017785029865980503,0.010180989704453832,0.019710910093371434,0.006944810071491372,0.01185011064618363,0.007197231499720981,0.005324865235281704,0.0037632426735771597,0.007067538061346493,0.00939054362521731
Curvatures,3,1,0.02301346904750466,0.008992452369902825,0.006951360760034584,0.006628930353168937,0.02301346904750466,0.005377647342751386,0.018201155632592135,0.006212300358270222,0.00027997799719317053,0.008000505948080248,0.003992910441802034,0.021944951768518142,0.006783808988499052,0.015214895941572977,0.010891268272762709,0.00042810244550038043,0.0008982873155905611,0.006042950136513934,0.009968075928124645
Curvatures,4,1,0.02650644690126297,0.009153205216962269,0.007340843336262362,0.020065953178104137,0.02650644690126297,0.007759732759117496,0.01493030116133522,0.0013645068716962986,5.5104735913358314e-05,0.003353547931163729,0.0073201922259300105,0.016938920567705577,0.006112972382670166,0.01364863153882614,0.012148596036931735,0.005977682123508925,0.0004878645275430327,0.0032057231734182196,0.006575107356269285
Curvatures,5,0,0.027936777201121553,0.010110361698910272,0.00798129971003847,0.027936777201121553,0.026800922525054262,0.009723709943035801,0.009843970641580631,0.008505567989012648,0.001954517240451266,0.01403929670324541,0.01742326859436183,0.007826081069999635,0.004760239939892135,0.008918891668990084,0.011043693992136009,0.009908719483603608,0.001418559466244091,0.00024255190717459264,0.0014190188166608106
Curvatures,6,0,0.03204202731601865,0.010370236145162916,0.00929030796061481,0.03204202731601865,0.021635029666854627,0.00778062051047862,0.0069925344032621736,0.013883866123168307,0.0033345763942302675,0.022414234016444504,0.022979421406405503,0.0018263191840704118,0.0031969340638919766,0.002448808475477741,0.010663650474723268,0.010521076761266283,2.4512578434812945e-05,0.0032254420025276593,0.002954724945351863
Curvatures,7,0,0.03543613528245955,0.010922144809900738,0.009730494306708986,0.03543613528245955,0.0109900773326396,0.0013100300752997703,0.008623617341341303,0.018163837069629176,0.002238858268437915,0.027041973759093875,0.022839829316652974,0.009630172232344403,0.0013482046072570916,0.003826814392729084,0.012057240700277761,0.008721105900263326,0.0038679793427725934,0.004531120763233631,0.004127320573979771
Curvatures,8,0,0.03849228296820361,0.011483919189624353,0.009748690418736217,0.03849228296820361,0.003428864529689922,0.008020049200624806,0.012196092811250432,0.02027172979264376,0.0009213860020295815,0.023936764224752112,0.018099672194002027,0.014771474865045889,1.879098024059443e-05,0.009442619035490023,0.013581793343588708,0.004787872183287858,0.008129804669497745,0.004766783260754076,0.0028767269728885033
Curvatures,9,0,0.040026050220004356,0.012597558658201571,0.00941775864239295,0.040026050220004356,0.01962433135281606,0.016593783533702295,0.014630544993193972,0.018791127436272252,0.004221980269145363,0.012976100293754931,0.011344271444435844,0.01680910682673747,0.0013305315672926272,0.01495857980175187,0.013128519747359083,0.00045671314050524283,0.010174908551648333,0.005298332195756257,0.0011960571568491868
Curvatures,10,0,0.03730855640012901,0.012514283474045339,0.010601905204256053,0.03730855640012901,0.03396751442573873,0.021435870591196098,0.013533787727449164,0.013547147312645207,0.006609590108259155,0.0014197271220527797,0.003928277259759327,0.016167984128923587,0.003304367129597589,0.01927134002041577,0.009442159884388754,0.005871404391674132,0.008353298470476864,0.005823370268311987,0.0002441403437072622
Curvatures,11,1,0.042637156427914095,0.012355010296423188,0.010865143178344683,0.028010649229643834,0.042637156427914095,0.022257598020558145,0.009122714237355136,0.0056115251526167725,0.007884303470079847,0.01575858935302863,0.002843358122807078,0.013454606402157393,0.0048210801292180114,0.020638520180827485,0.00465685876362871,0.010287471411968273,0.00444450282616015,0.004707312618973259,0.0005439183958342191
Curvatures,12,1,0.04449228564962394,0.01089528505613208,0.01126273881272549,0.013200250107278572,0.04449228564962394,0.01889964967837782,0.004491018554521717,0.0021909670728624824,0.00826831078007016,0.025467839432369143,0.007371043803298786,0.009740648790456174,0.004758747831153787,0.01865717859936885,0.001644666690710534,0.012231250130493351,0.000802221315661647,0.0016979725175686803,0.0004105099442975999
