,U,V,C,S,Overall
HMHSHC,19,0,0,2,21
HMHSLC,7,7,3,0,17
HMLSHC,1,0,1,2,4
HMLSLC,0,2,0,0,2
LMHSHC,6,0,0,1,7
LMHSLC,2,1,0,0,3
LMLSHC,4,2,1,1,8
LMLSLC,4,17,4,0,25
