,U,V,C,S,Overall
HMHSHC,11,1,0,3,15
HMHSLC,11,6,2,0,19
HMLSHC,1,0,1,0,2
HMLSLC,0,2,0,0,2
LMHSHC,5,0,0,0,5
LMHSLC,1,4,0,0,5
LMLSHC,10,1,0,3,14
LMLSLC,4,15,6,0,25
