,U,V,C,S,Overall
HMHSHC,14,1,2,6,23
HMHSLC,10,4,0,0,14
HMLSHC,0,1,0,0,1
HMLSLC,2,2,1,0,5
LMHSHC,1,0,0,0,1
LMHSLC,0,2,1,0,3
LMLSHC,8,8,3,0,19
LMLSLC,8,11,2,0,21
