,U,V,C,S,Overall
HMHSHC,11,1,0,5,17
HMHSLC,10,6,1,0,17
HMLSHC,3,0,1,0,4
HMLSLC,2,2,1,0,5
LMHSHC,3,1,0,0,4
LMHSLC,3,1,1,0,5
LMLSHC,7,6,3,1,17
LMLSLC,4,12,2,0,18
