,U,V,C,S,Overall
HMHSHC,11,1,0,4,16
HMHSLC,2,14,4,0,20
HMLSHC,2,1,0,0,3
HMLSLC,0,1,0,0,1
LMHSHC,2,0,0,0,2
LMHSLC,2,0,1,0,3
LMLSHC,14,1,2,2,19
LMLSLC,10,11,2,0,23
